feature	ref_CI	permuted_CI	algo	model
219	NRAS_p.Q61_62	0.603671568528972	0.603671568528972	Lasso	all_gen
220	NRAS_p.Q61_62	0.603671568528972	0.603671568528972	Lasso	all_gen
221	PDS5B	0.603671568528972	0.603671568528972	Lasso	all_gen
222	PDS5B	0.603671568528972	0.603671568528972	Lasso	all_gen
223	PDS5B	0.603671568528972	0.603671568528972	Lasso	all_gen
224	PDS5B	0.603671568528972	0.603671568528972	Lasso	all_gen
225	PHF6	0.603671568528972	0.603671568528972	Lasso	all_gen
226	PHF6	0.603671568528972	0.603671568528972	Lasso	all_gen
227	PHF6	0.603671568528972	0.603671568528972	Lasso	all_gen
228	PHF6	0.603671568528972	0.603671568528972	Lasso	all_gen
229	PPFIA2	0.603671568528972	0.603671568528972	Lasso	all_gen
230	PPFIA2	0.603671568528972	0.603671568528972	Lasso	all_gen
231	PPFIA2	0.603671568528972	0.603671568528972	Lasso	all_gen
232	PPFIA2	0.603671568528972	0.603671568528972	Lasso	all_gen
233	PRPF8	0.603671568528972	0.603671568528972	Lasso	all_gen
234	PRPF8	0.603671568528972	0.603671568528972	Lasso	all_gen
235	PRPF8	0.603671568528972	0.603671568528972	Lasso	all_gen
236	PRPF8	0.603671568528972	0.603671568528972	Lasso	all_gen
237	PTEN	0.603671568528972	0.603671568528972	Lasso	all_gen
238	PTEN	0.603671568528972	0.603671568528972	Lasso	all_gen
239	PTEN	0.603671568528972	0.603671568528972	Lasso	all_gen
240	PTEN	0.603671568528972	0.603671568528972	Lasso	all_gen
241	PTPN11	0.603671568528972	0.603671568528972	Lasso	all_gen
242	PTPN11	0.603671568528972	0.603671568528972	Lasso	all_gen
243	PTPN11	0.603671568528972	0.603671568528972	Lasso	all_gen
244	PTPN11	0.603671568528972	0.603671568528972	Lasso	all_gen
245	PTPRF	0.603671568528972	0.603671568528972	Lasso	all_gen
246	PTPRF	0.603671568528972	0.603671568528972	Lasso	all_gen
247	PTPRF	0.603671568528972	0.603671568528972	Lasso	all_gen
248	PTPRF	0.603671568528972	0.603671568528972	Lasso	all_gen
249	PTPRT	0.603671568528972	0.603671568528972	Lasso	all_gen
250	PTPRT	0.603671568528972	0.603671568528972	Lasso	all_gen
251	PTPRT	0.603671568528972	0.603671568528972	Lasso	all_gen
252	PTPRT	0.603671568528972	0.603671568528972	Lasso	all_gen
253	RAD21	0.603671568528972	0.603671568528972	Lasso	all_gen
254	RAD21	0.603671568528972	0.603671568528972	Lasso	all_gen
255	RAD21	0.603671568528972	0.603671568528972	Lasso	all_gen
256	RAD21	0.603671568528972	0.603671568528972	Lasso	all_gen
257	RIT1	0.603671568528972	0.603671568528972	Lasso	all_gen
258	RIT1	0.603671568528972	0.603671568528972	Lasso	all_gen
259	RIT1	0.603671568528972	0.603671568528972	Lasso	all_gen
260	RIT1	0.603671568528972	0.603671568528972	Lasso	all_gen
261	RUNX1	0.603671568528972	0.567482478679119	Lasso	all_gen
262	RUNX1	0.603671568528972	0.56440411717345	Lasso	all_gen
263	RUNX1	0.603671568528972	0.585898238466603	Lasso	all_gen
264	RUNX1	0.603671568528972	0.596881546111287	Lasso	all_gen
265	S100B	0.603671568528972	0.603671568528972	Lasso	all_gen
266	S100B	0.603671568528972	0.603671568528972	Lasso	all_gen
267	S100B	0.603671568528972	0.603671568528972	Lasso	all_gen
268	S100B	0.603671568528972	0.603671568528972	Lasso	all_gen
269	SETBP1	0.603671568528972	0.603671568528972	Lasso	all_gen
270	SETBP1	0.603671568528972	0.603671568528972	Lasso	all_gen
271	SETBP1	0.603671568528972	0.603671568528972	Lasso	all_gen
272	SETBP1	0.603671568528972	0.603671568528972	Lasso	all_gen
273	SF1	0.603671568528972	0.603671568528972	Lasso	all_gen
274	SF1	0.603671568528972	0.603671568528972	Lasso	all_gen
275	SF1	0.603671568528972	0.603671568528972	Lasso	all_gen
276	SF1	0.603671568528972	0.603671568528972	Lasso	all_gen
277	SF3B1	0.603671568528972	0.603671568528972	Lasso	all_gen
278	SF3B1	0.603671568528972	0.603671568528972	Lasso	all_gen
279	SF3B1	0.603671568528972	0.603671568528972	Lasso	all_gen
280	SF3B1	0.603671568528972	0.603671568528972	Lasso	all_gen
281	SMC1A	0.603671568528972	0.603671568528972	Lasso	all_gen
282	SMC1A	0.603671568528972	0.603671568528972	Lasso	all_gen
283	SMC1A	0.603671568528972	0.603671568528972	Lasso	all_gen
284	SMC1A	0.603671568528972	0.603671568528972	Lasso	all_gen
285	SMC3	0.603671568528972	0.603671568528972	Lasso	all_gen
286	SMC3	0.603671568528972	0.603671568528972	Lasso	all_gen
287	SMC3	0.603671568528972	0.603671568528972	Lasso	all_gen
288	SMC3	0.603671568528972	0.603671568528972	Lasso	all_gen
289	SMG1	0.603671568528972	0.603671568528972	Lasso	all_gen
290	SMG1	0.603671568528972	0.603671568528972	Lasso	all_gen
291	SMG1	0.603671568528972	0.603671568528972	Lasso	all_gen
292	SMG1	0.603671568528972	0.603671568528972	Lasso	all_gen
293	SPP1	0.603671568528972	0.603671568528972	Lasso	all_gen
294	SPP1	0.603671568528972	0.603671568528972	Lasso	all_gen
295	SPP1	0.603671568528972	0.603671568528972	Lasso	all_gen
296	SPP1	0.603671568528972	0.603671568528972	Lasso	all_gen
297	SRSF2	0.603671568528972	0.580731409709391	Lasso	all_gen
298	SRSF2	0.603671568528972	0.585728721987037	Lasso	all_gen
299	SRSF2	0.603671568528972	0.582372491341327	Lasso	all_gen
300	SRSF2	0.603671568528972	0.589321828504852	Lasso	all_gen
301	STAG2	0.603671568528972	0.603671568528972	Lasso	all_gen
302	STAG2	0.603671568528972	0.603671568528972	Lasso	all_gen
303	STAG2	0.603671568528972	0.603671568528972	Lasso	all_gen
304	STAG2	0.603671568528972	0.603671568528972	Lasso	all_gen
305	STAT5B	0.603671568528972	0.603671568528972	Lasso	all_gen
306	STAT5B	0.603671568528972	0.603671568528972	Lasso	all_gen
307	STAT5B	0.603671568528972	0.603671568528972	Lasso	all_gen
308	STAT5B	0.603671568528972	0.603671568528972	Lasso	all_gen
309	SUZ12	0.603671568528972	0.603671568528972	Lasso	all_gen
310	SUZ12	0.603671568528972	0.603671568528972	Lasso	all_gen
311	SUZ12	0.603671568528972	0.603671568528972	Lasso	all_gen
312	SUZ12	0.603671568528972	0.603671568528972	Lasso	all_gen
313	TET2	0.603671568528972	0.596584903917862	Lasso	all_gen
314	TET2	0.603671568528972	0.599584213632979	Lasso	all_gen
315	TET2	0.603671568528972	0.589815564467182	Lasso	all_gen
316	TET2	0.603671568528972	0.59597466322473	Lasso	all_gen
317	TP53	0.603671568528972	0.567762630398852	Lasso	all_gen
318	TP53	0.603671568528972	0.563030796114348	Lasso	all_gen
319	TP53	0.603671568528972	0.562904136233079	Lasso	all_gen
320	TP53	0.603671568528972	0.545580753869562	Lasso	all_gen
321	U2AF1_p.S34	0.603671568528972	0.603671568528972	Lasso	all_gen
322	U2AF1_p.S34	0.603671568528972	0.603671568528972	Lasso	all_gen
323	U2AF1_p.S34	0.603671568528972	0.603671568528972	Lasso	all_gen
324	U2AF1_p.S34	0.603671568528972	0.603671568528972	Lasso	all_gen
325	U2AF1_p.Q157	0.603671568528972	0.603671568528972	Lasso	all_gen
326	U2AF1_p.Q157	0.603671568528972	0.603671568528972	Lasso	all_gen
327	U2AF1_p.Q157	0.603671568528972	0.603671568528972	Lasso	all_gen
328	U2AF1_p.Q157	0.603671568528972	0.603671568528972	Lasso	all_gen
329	WT1	0.603671568528972	0.603671568528972	Lasso	all_gen
330	WT1	0.603671568528972	0.603671568528972	Lasso	all_gen
331	WT1	0.603671568528972	0.603671568528972	Lasso	all_gen
332	WT1	0.603671568528972	0.603671568528972	Lasso	all_gen
333	ZRSR2	0.603671568528972	0.603671568528972	Lasso	all_gen
334	ZRSR2	0.603671568528972	0.603671568528972	Lasso	all_gen
335	ZRSR2	0.603671568528972	0.603671568528972	Lasso	all_gen
336	ZRSR2	0.603671568528972	0.603671568528972	Lasso	all_gen
337	ASXL1	0.602227956395564	0.605268675712134	Lasso	all_gen
338	ASXL1	0.602227956395564	0.603548482139684	Lasso	all_gen
339	ASXL1	0.602227956395564	0.59999606212322	Lasso	all_gen
340	ASXL1	0.602227956395564	0.601614874177497	Lasso	all_gen
341	ASXL2	0.602227956395564	0.602227956395564	Lasso	all_gen
342	ASXL2	0.602227956395564	0.602227956395564	Lasso	all_gen
343	ASXL2	0.602227956395564	0.602227956395564	Lasso	all_gen
344	ASXL2	0.602227956395564	0.602227956395564	Lasso	all_gen
345	ASXL3	0.602227956395564	0.602227956395564	Lasso	all_gen
346	ASXL3	0.602227956395564	0.602227956395564	Lasso	all_gen
347	ASXL3	0.602227956395564	0.602227956395564	Lasso	all_gen
348	ASXL3	0.602227956395564	0.602227956395564	Lasso	all_gen
349	ATRX	0.602227956395564	0.602227956395564	Lasso	all_gen
350	ATRX	0.602227956395564	0.602227956395564	Lasso	all_gen
351	ATRX	0.602227956395564	0.602227956395564	Lasso	all_gen
352	ATRX	0.602227956395564	0.602227956395564	Lasso	all_gen
353	BAGE3	0.602227956395564	0.602227956395564	Lasso	all_gen
354	BAGE3	0.602227956395564	0.602227956395564	Lasso	all_gen
355	BAGE3	0.602227956395564	0.602227956395564	Lasso	all_gen
356	BAGE3	0.602227956395564	0.602227956395564	Lasso	all_gen
357	BCOR	0.602227956395564	0.602227956395564	Lasso	all_gen
358	BCOR	0.602227956395564	0.602227956395564	Lasso	all_gen
359	BCOR	0.602227956395564	0.602227956395564	Lasso	all_gen
360	BCOR	0.602227956395564	0.602227956395564	Lasso	all_gen
361	BRAF	0.602227956395564	0.602227956395564	Lasso	all_gen
362	BRAF	0.602227956395564	0.602227956395564	Lasso	all_gen
363	BRAF	0.602227956395564	0.602227956395564	Lasso	all_gen
364	BRAF	0.602227956395564	0.602227956395564	Lasso	all_gen
365	CBFB	0.602227956395564	0.602227956395564	Lasso	all_gen
366	CBFB	0.602227956395564	0.602227956395564	Lasso	all_gen
367	CBFB	0.602227956395564	0.602227956395564	Lasso	all_gen
368	CBFB	0.602227956395564	0.602227956395564	Lasso	all_gen
369	CBL	0.602227956395564	0.602227956395564	Lasso	all_gen
370	CBL	0.602227956395564	0.602227956395564	Lasso	all_gen
371	CBL	0.602227956395564	0.602227956395564	Lasso	all_gen
372	CBL	0.602227956395564	0.602227956395564	Lasso	all_gen
373	CDKN2A	0.602227956395564	0.602227956395564	Lasso	all_gen
374	CDKN2A	0.602227956395564	0.602227956395564	Lasso	all_gen
375	CDKN2A	0.602227956395564	0.602227956395564	Lasso	all_gen
376	CDKN2A	0.602227956395564	0.602227956395564	Lasso	all_gen
377	CEBPA_bi	0.602227956395564	0.602227956395564	Lasso	all_gen
378	CEBPA_bi	0.602227956395564	0.602227956395564	Lasso	all_gen
379	CEBPA_bi	0.602227956395564	0.602227956395564	Lasso	all_gen
380	CEBPA_bi	0.602227956395564	0.602227956395564	Lasso	all_gen
381	CEBPA_mono	0.602227956395564	0.602227956395564	Lasso	all_gen
382	CEBPA_mono	0.602227956395564	0.602227956395564	Lasso	all_gen
383	CEBPA_mono	0.602227956395564	0.602227956395564	Lasso	all_gen
384	CEBPA_mono	0.602227956395564	0.602227956395564	Lasso	all_gen
385	CNTN5	0.602227956395564	0.602227956395564	Lasso	all_gen
386	CNTN5	0.602227956395564	0.602227956395564	Lasso	all_gen
387	CNTN5	0.602227956395564	0.602227956395564	Lasso	all_gen
388	CNTN5	0.602227956395564	0.602227956395564	Lasso	all_gen
389	CREBBP	0.602227956395564	0.602227956395564	Lasso	all_gen
390	CREBBP	0.602227956395564	0.602227956395564	Lasso	all_gen
391	CREBBP	0.602227956395564	0.602227956395564	Lasso	all_gen
392	CREBBP	0.602227956395564	0.602227956395564	Lasso	all_gen
393	CSF1R	0.602227956395564	0.602227956395564	Lasso	all_gen
394	CSF1R	0.602227956395564	0.602227956395564	Lasso	all_gen
395	CSF1R	0.602227956395564	0.602227956395564	Lasso	all_gen
396	CSF1R	0.602227956395564	0.602227956395564	Lasso	all_gen
397	CSF3R	0.602227956395564	0.602227956395564	Lasso	all_gen
398	CSF3R	0.602227956395564	0.602227956395564	Lasso	all_gen
399	CSF3R	0.602227956395564	0.602227956395564	Lasso	all_gen
400	CSF3R	0.602227956395564	0.602227956395564	Lasso	all_gen
401	CTCF	0.602227956395564	0.602227956395564	Lasso	all_gen
402	CTCF	0.602227956395564	0.602227956395564	Lasso	all_gen
403	CTCF	0.602227956395564	0.602227956395564	Lasso	all_gen
404	CTCF	0.602227956395564	0.602227956395564	Lasso	all_gen
405	CUL2	0.602227956395564	0.602227956395564	Lasso	all_gen
406	CUL2	0.602227956395564	0.602227956395564	Lasso	all_gen
407	CUL2	0.602227956395564	0.602227956395564	Lasso	all_gen
408	CUL2	0.602227956395564	0.602227956395564	Lasso	all_gen
409	CUX1	0.602227956395564	0.602227956395564	Lasso	all_gen
410	CUX1	0.602227956395564	0.602227956395564	Lasso	all_gen
